Invoice_Number,Date,Time,Internal_Toy_ID_Number,Toy_Item_Number,Toy_Company,Toy_Name,Suggested_Age,Units_Sold,Total_Line_Revenue,Total_COGS,Payment,Cashier_ID,Member,Coupon,Purchaser_Age,Parking_Validation
654932,2010-04-14,12:42,D250/AT,192,Duplo,Policemen,6 and up,1,9.95,5.17,Mastercard,U.O.|880-3720,No,No,36,Yes
654979,2010-04-17,14:16,D254/FE,192,Duplo,Policemen,6 and up,2,19.9,10.34,Cash,D.W.|880-7199,No,Yes,39,No
655029,2010-04-22,13:39,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Discover,S.V.|880-5987,No,Yes,63,No
655035,2010-04-24,17:16,L340/FS,340,Lego,Fire Trucks,6 and up,2,69.9,39.84,Mastercard,V.W.|880-4523,Yes,Yes,38,No
655083,2010-04-25,16:52,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,2,19.9,8.96,Visa,N.W.|880-6237,No,Yes,33,No
655105,2010-05-01,15:27,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Visa,U.W.|880-9683,No,No,33,No
655105,2010-05-01,15:27,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,2,19.9,8.96,Visa,U.W.|880-9683,No,No,33,No
655112,2010-05-04,14:47,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Visa,H.B.|880-3254,Yes,Yes,31,No
655124,2010-05-06,12:39,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Visa,Z.Q.|880-4240,No,No,45,No
655165,2010-05-30,17:40,D250/AT,192,Duplo,Policemen,6 and up,2,19.9,10.34,Cash,D.U.|880-2953,Yes,Yes,29,No
655189,2010-05-30,16:21,L195/AE,195,Lego,Airplane,8 and up,2,11.9,6.18,Visa,B.B.|880-9330,No,No,49,No
655232,2010-05-30,11:17,D250/AT,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,H.B.|880-3254,No,Yes,42,No
655232,2010-05-30,11:17,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,2,19.9,8.96,Cash,H.B.|880-3254,No,Yes,42,No
655281,2010-06-01,15:27,D255/FE,192,Duplo,Policemen,6 and up,4,39.8,20.68,Mastercard,W.C.|880-4861,No,No,34,Yes
655298,2010-06-09,16:28,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Discover,V.W.|880-8599,No,No,36,No
655323,2010-06-13,12:18,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Mastercard,N.C.|880-3850,No,No,41,No
655358,2010-06-13,19:16,L195/AE,195,Lego,Airplane,8 and up,2,11.9,6.18,Cash,W.C.|880-4861,No,No,32,Yes
655358,2010-06-13,19:16,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,W.C.|880-4861,No,No,32,Yes
655373,2010-06-21,12:27,L195/AE,195,Lego,Airplane,8 and up,1,5.95,3.09,Visa,N.W.|880-6237,No,No,43,No
655385,2010-06-21,16:05,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,2,19.9,8.96,Mastercard,W.B.|880-9647,No,No,46,No
655412,2010-06-24,11:39,D254/FE,192,Duplo,Policemen,6 and up,5,49.75,25.85,Mastercard,H.B.|880-3254,No,No,65,No
655412,2010-06-24,11:39,D250/AT,192,Duplo,Policemen,6 and up,2,19.9,10.34,Mastercard,H.B.|880-3254,No,No,65,No
655420,2010-06-26,16:09,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,2,19.9,8.96,Mastercard,A.U.|880-2167,No,No,56,Yes
655467,2010-07-04,13:46,L195/AE,195,Lego,Airplane,8 and up,1,5.95,3.09,Cash,Y.P.|880-6894,No,No,34,Yes
655505,2010-07-09,9:10,D254/FE,192,Duplo,Policemen,6 and up,2,19.9,10.34,Gift Card,N.C.|880-3850,No,No,30,Yes
655526,2010-07-09,12:57,D250/AT,192,Duplo,Policemen,6 and up,3,29.85,15.51,Mastercard,Z.Q.|880-4240,No,No,24,Yes
655557,2010-07-10,16:00,L195/AE,195,Lego,Airplane,8 and up,4,23.8,12.36,Visa,V.W.|880-8599,No,No,37,No
655557,2010-07-10,16:00,D255/FE,192,Duplo,Policemen,6 and up,2,19.9,10.34,Visa,V.W.|880-8599,No,No,37,No
655570,2010-07-18,14:46,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,L.W.|880-4986,No,Yes,37,No
655577,2010-07-19,11:24,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,4,39.8,17.92,Mastercard,V.W.|880-8599,No,No,12,No
655613,2010-07-25,12:04,D250/AT,192,Duplo,Policemen,6 and up,2,19.9,10.34,Visa,L.W.|880-4986,No,No,64,No
655623,2010-07-29,10:13,D250/AT,192,Duplo,Policemen,6 and up,1,9.95,5.17,Visa,D.U.|880-2953,No,No,43,No
655643,2010-07-30,11:49,L195/AE,195,Lego,Airplane,8 and up,3,17.85,9.27,Gift Card,N.C.|880-3850,No,No,48,No
655661,2010-08-09,16:56,D250/AT,192,Duplo,Policemen,6 and up,1,9.95,5.17,Mastercard,C.X.|880-3590,Yes,Yes,34,No
655661,2010-08-09,16:56,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Mastercard,C.X.|880-3590,Yes,Yes,34,No
655673,2010-08-16,15:42,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,D.U.|880-2953,No,No,50,Yes
655676,2010-08-18,18:27,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,D.Z.|880-1179,No,No,38,No
655676,2010-08-18,18:27,D254/FE,192,Duplo,Policemen,6 and up,4,39.8,20.68,Cash,D.Z.|880-1179,No,No,38,No
655679,2010-08-24,16:49,D250/AT,192,Duplo,Policemen,6 and up,3,29.85,15.51,Gift Card,S.V.|880-5987,No,No,41,No
655716,2010-09-02,16:19,D250/AT,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,U.W.|880-9683,Yes,No,21,No
655731,2010-09-05,18:17,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Visa,Z.T.|880-7477,No,Yes,31,No
655768,2010-09-12,14:41,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Mastercard,H.B.|880-3254,No,No,40,No
655793,2010-09-12,17:33,D255/FE,192,Duplo,Policemen,6 and up,3,29.85,15.51,Cash,A.U.|880-2167,Yes,Yes,48,No
655793,2010-09-12,17:33,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,A.U.|880-2167,Yes,Yes,48,No
655833,2010-09-21,18:36,L195/AE,195,Lego,Airplane,8 and up,2,11.9,6.18,Discover,H.B.|880-3254,No,No,32,Yes
655833,2010-09-21,18:36,D250/AT,192,Duplo,Policemen,6 and up,2,19.9,10.34,Discover,H.B.|880-3254,No,No,32,Yes
655842,2010-10-04,13:49,D250/AT,192,Duplo,Policemen,6 and up,2,19.9,10.34,Cash,D.W.|880-7199,No,No,44,No
655845,2010-10-14,20:37,L195/AE,195,Lego,Airplane,8 and up,1,5.95,3.09,Mastercard,N.C.|880-3850,No,No,34,No
655894,2010-10-16,16:01,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Discover,D.S.|880-7532,No,No,40,No
655933,2010-10-16,10:30,L195/AE,195,Lego,Airplane,8 and up,2,11.9,6.18,Cash,U.W.|880-9683,No,No,31,No
655965,2010-10-21,11:27,L196/AR,196,Lego,Antique Car,8 and up,2,15.9,8.9,Visa,W.C.|880-4861,No,No,45,No
655965,2010-10-21,11:27,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Visa,W.C.|880-4861,No,No,45,No
655976,2010-11-01,8:55,D250/AT,192,Duplo,Policemen,6 and up,1,9.95,5.17,Check,D.W.|880-7199,No,No,34,No
656007,2010-11-01,20:07,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Mastercard,Z.T.|880-7477,No,No,43,No
656032,2010-11-01,19:55,L194/FY,194,Lego,Family,4 and up,1,14.95,8.37,Visa,W.B.|880-9647,No,No,43,No
656032,2010-11-01,19:55,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Visa,W.B.|880-9647,No,No,43,No
656077,2010-11-02,19:21,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Cash,U.W.|880-9683,Yes,No,37,No
656123,2010-11-02,15:27,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Gift Card,V.W.|880-8599,No,Yes,38,Yes
656125,2010-11-02,11:49,D250/AT,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,U.O.|880-3720,No,No,37,No
656125,2010-11-02,11:49,L195/AE,195,Lego,Airplane,8 and up,1,5.95,3.09,Cash,U.O.|880-3720,No,No,37,No
656171,2010-11-02,15:14,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,3,29.85,13.44,Visa,S.V.|880-5987,No,No,50,No
656171,2010-11-02,15:14,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Visa,S.V.|880-5987,No,No,50,No
656207,2010-11-02,13:25,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,N.C.|880-3850,No,No,50,No
656246,2010-11-02,10:59,L195/AE,195,Lego,Airplane,8 and up,1,5.95,3.09,Visa,A.U.|880-2167,No,Yes,43,No
656246,2010-11-02,10:59,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Visa,A.U.|880-2167,No,Yes,43,No
656287,2010-11-03,15:33,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Check,C.X.|880-3590,No,No,43,No
656300,2010-11-03,17:16,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,N.C.|880-3850,No,No,27,No
656314,2010-11-03,12:48,D255/FE,192,Duplo,Policemen,6 and up,4,39.8,20.68,Visa,D.S.|880-7532,No,Yes,26,No
656314,2010-11-03,12:48,L195/AE,195,Lego,Airplane,8 and up,5,29.75,15.45,Visa,D.S.|880-7532,No,Yes,26,No
656314,2010-11-03,12:48,L195/AE,195,Lego,Airplane,8 and up,1,5.95,3.09,Visa,D.S.|880-7532,No,Yes,26,No
656364,2010-11-04,16:56,L195/AE,195,Lego,Airplane,8 and up,1,5.95,3.09,Visa,C.X.|880-3590,No,No,38,Yes
656380,2010-11-05,15:40,D250/AT,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,Z.T.|880-7477,No,No,29,No
656416,2010-11-05,16:06,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,4,39.8,17.92,Cash,C.X.|880-3590,Yes,No,14,No
656416,2010-11-05,16:06,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,C.X.|880-3590,Yes,No,14,No
656444,2010-11-05,15:19,D250/AT,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,B.Y.|880-6845,No,Yes,44,Yes
656478,2010-11-05,20:51,L195/AE,195,Lego,Airplane,8 and up,1,5.95,3.09,Visa,W.B.|880-9647,No,Yes,32,No
656495,2010-11-05,13:37,L195/AE,195,Lego,Airplane,8 and up,2,11.9,6.18,Check,D.U.|880-2953,No,No,30,No
656518,2010-11-05,13:12,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Visa,B.B.|880-9330,No,No,19,No
656533,2010-11-05,11:01,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Cash,V.W.|880-4523,No,No,50,No
656547,2010-11-06,20:00,L195/AE,195,Lego,Airplane,8 and up,2,11.9,6.18,Visa,D.U.|880-2953,Yes,No,11,No
656588,2010-11-06,13:24,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Visa,H.B.|880-3254,Yes,Yes,41,Yes
656617,2010-11-06,10:52,D250/AT,192,Duplo,Policemen,6 and up,2,19.9,10.34,Visa,A.U.|880-2167,No,No,38,No
656617,2010-11-06,10:52,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Visa,A.U.|880-2167,No,No,38,No
656628,2010-11-06,10:15,L330/GN,330,Lego,Gas Station,8 and up,1,32.95,19.11,Discover,U.O.|880-3720,No,No,37,No
656637,2010-11-06,11:00,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Visa,B.Y.|880-6845,No,No,30,No
656648,2010-11-06,13:24,L195/AE,195,Lego,Airplane,8 and up,1,5.95,3.09,Visa,W.B.|880-9647,No,No,11,No
656657,2010-11-06,15:04,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,U.W.|880-9683,No,No,22,No
656657,2010-11-06,15:04,L212/SD,212,Lego,Scooter and Stand,6 and up,1,4.95,2.23,Cash,U.W.|880-9683,No,No,22,No
656657,2010-11-06,15:04,D218/FN,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,U.W.|880-9683,No,No,22,No
656671,2010-11-07,13:21,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Gift Card,S.V.|880-5987,No,No,37,No
656692,2010-11-08,15:22,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Visa,L.W.|880-4986,No,No,11,No
656737,2010-11-08,19:04,D250/AT,192,Duplo,Policemen,6 and up,2,19.9,10.34,Visa,D.S.|880-7532,No,No,40,No
656757,2010-11-08,9:24,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,S.Y.|880-3139,No,No,36,Yes
656757,2010-11-08,9:24,D254/FE,192,Duplo,Policemen,6 and up,2,19.9,10.34,Cash,S.Y.|880-3139,No,No,36,Yes
656770,2010-11-09,14:56,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Mastercard,H.B.|880-3254,No,No,66,No
656807,2010-11-10,11:28,L210/CS,210,Lego,Cowboys with Horses,6 and up,1,9.45,4.63,Visa,P.N.|880-3021,No,No,48,No
656822,2010-11-10,8:07,D254/FE,192,Duplo,Policemen,6 and up,2,19.9,10.34,Mastercard,B.B.|880-9330,No,No,57,No
656847,2010-11-10,12:25,D198/LX,192,Duplo,Policemen,6 and up,2,19.9,10.34,Visa,S.Y.|880-3139,Yes,No,38,No
656854,2010-11-10,11:12,L195/AE,195,Lego,Airplane,8 and up,1,5.95,3.09,Mastercard,V.W.|880-4523,No,Yes,31,No
656893,2010-11-10,15:20,L212/SD,212,Lego,Scooter and Stand,6 and up,1,4.95,2.23,Visa,U.O.|880-3720,No,No,45,No
656931,2010-11-11,9:09,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Visa,A.U.|880-2167,No,No,30,No
656952,2010-11-11,11:40,L195/AE,195,Lego,Airplane,8 and up,3,17.85,9.27,Cash,N.C.|880-3850,No,No,38,No
656956,2010-11-11,12:48,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Mastercard,V.W.|880-8599,No,No,24,No
656991,2010-11-11,15:47,D255/FE,192,Duplo,Policemen,6 and up,4,39.8,20.68,Visa,V.W.|880-4523,No,Yes,43,No
656991,2010-11-11,15:47,D198/LX,192,Duplo,Policemen,6 and up,2,19.9,10.34,Visa,V.W.|880-4523,No,Yes,43,No
657009,2010-11-11,12:02,D255/FE,192,Duplo,Policemen,6 and up,2,19.9,10.34,Cash,V.W.|880-8599,No,No,36,No
657052,2010-11-11,19:45,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Check,B.B.|880-9330,No,Yes,34,Yes
657052,2010-11-11,19:45,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Check,B.B.|880-9330,No,Yes,34,Yes
657055,2010-11-12,11:37,D250/AT,192,Duplo,Policemen,6 and up,2,19.9,10.34,Check,D.S.|880-7532,No,No,36,No
657055,2010-11-12,11:37,D250/AT,192,Duplo,Policemen,6 and up,2,19.9,10.34,Check,D.S.|880-7532,No,No,36,No
657055,2010-11-12,11:37,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Check,D.S.|880-7532,No,No,36,No
657093,2010-11-12,13:33,D250/AT,192,Duplo,Policemen,6 and up,5,49.75,25.85,Visa,Y.P.|880-6894,Yes,No,31,Yes
657101,2010-11-13,9:53,L195/AE,195,Lego,Airplane,8 and up,1,5.95,3.09,Gift Card,Z.T.|880-7477,Yes,No,41,Yes
657140,2010-11-13,16:50,L340/FS,340,Lego,Fire Trucks,6 and up,2,69.9,39.84,Visa,B.Y.|880-6845,No,No,34,No
657140,2010-11-13,16:50,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Visa,B.Y.|880-6845,No,No,34,No
657187,2010-11-13,10:39,D250/AT,192,Duplo,Policemen,6 and up,2,19.9,10.34,Gift Card,Z.Q.|880-4240,No,No,31,Yes
657232,2010-11-13,20:11,L195/AE,195,Lego,Airplane,8 and up,3,17.85,9.27,Visa,C.X.|880-3590,No,No,31,Yes
657255,2010-11-14,17:18,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Check,U.O.|880-3720,No,No,27,Yes
657291,2010-11-14,12:37,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Cash,Z.T.|880-7477,No,No,49,No
657306,2010-11-14,9:50,D254/FE,192,Duplo,Policemen,6 and up,4,39.8,20.68,Visa,N.C.|880-3850,No,No,69,Yes
657316,2010-11-15,16:45,L252/LR,255,Duplo,Farming Scene,7 and up,1,24.95,16.22,Mastercard,P.N.|880-3021,No,No,20,No
657320,2010-11-15,8:24,D250/AT,192,Duplo,Policemen,6 and up,1,9.95,5.17,Mastercard,B.X.|880-9149,No,No,30,Yes
657336,2010-11-15,8:29,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Mastercard,H.B.|880-3254,No,No,37,Yes
657336,2010-11-15,8:29,D250/AT,192,Duplo,Policemen,6 and up,1,9.95,5.17,Mastercard,H.B.|880-3254,No,No,37,Yes
657366,2010-11-16,8:44,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,2,19.9,8.96,Mastercard,B.X.|880-9149,No,No,42,No
657415,2010-11-16,11:59,D250/AT,192,Duplo,Policemen,6 and up,2,19.9,10.34,Visa,S.V.|880-5987,No,No,41,Yes
657415,2010-11-16,11:59,D255/FE,192,Duplo,Policemen,6 and up,2,19.9,10.34,Visa,S.V.|880-5987,No,No,41,Yes
657447,2010-11-17,13:42,L195/AE,195,Lego,Airplane,8 and up,4,23.8,12.36,Mastercard,L.W.|880-4986,No,Yes,40,Yes
657482,2010-11-17,10:13,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,2,19.9,8.96,Discover,D.W.|880-7199,No,No,39,Yes
657512,2010-11-17,11:34,D192/PN,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,N.C.|880-3850,No,No,31,No
657529,2010-11-17,15:44,D255/FE,192,Duplo,Policemen,6 and up,5,49.75,25.85,Mastercard,B.Y.|880-6845,No,No,40,No
657533,2010-11-17,16:32,D254/FE,192,Duplo,Policemen,6 and up,2,19.9,10.34,Mastercard,B.B.|880-9330,Yes,No,38,No
657533,2010-11-17,16:32,L195/AE,195,Lego,Airplane,8 and up,3,17.85,9.27,Mastercard,B.B.|880-9330,Yes,No,38,No
657533,2010-11-17,16:32,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Mastercard,B.B.|880-9330,Yes,No,38,No
657563,2010-11-17,13:18,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Visa,D.W.|880-7199,No,No,25,No
657591,2010-11-18,19:45,L194/FY,194,Lego,Family,4 and up,1,14.95,8.37,Visa,W.C.|880-4861,No,No,26,No
657607,2010-11-18,13:44,D250/AT,192,Duplo,Policemen,6 and up,2,19.9,10.34,Visa,D.S.|880-7532,Yes,No,44,No
657635,2010-11-18,13:05,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,D.U.|880-2953,No,No,50,No
657663,2010-11-19,14:05,L330/GN,330,Lego,Gas Station,8 and up,4,131.8,76.44,Visa,D.W.|880-7199,No,No,28,No
657663,2010-11-19,14:05,D255/FE,192,Duplo,Policemen,6 and up,5,49.75,25.85,Visa,D.W.|880-7199,No,No,28,No
657686,2010-11-19,12:06,L195/AE,195,Lego,Airplane,8 and up,2,11.9,6.18,Mastercard,S.Y.|880-3139,No,No,60,No
657703,2010-11-20,11:39,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Discover,U.W.|880-9683,No,No,31,No
657712,2010-11-20,18:11,L195/AE,195,Lego,Airplane,8 and up,2,11.9,6.18,Visa,U.W.|880-9683,No,No,42,No
657751,2010-11-20,10:41,D250/AT,192,Duplo,Policemen,6 and up,5,49.75,25.85,Mastercard,H.B.|880-3254,No,No,48,No
657751,2010-11-20,10:41,D250/AT,192,Duplo,Policemen,6 and up,2,19.9,10.34,Mastercard,H.B.|880-3254,No,No,48,No
657769,2010-11-20,18:34,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,3,29.85,13.44,Cash,S.V.|880-5987,No,No,30,No
657815,2010-11-20,12:12,D250/AT,192,Duplo,Policemen,6 and up,2,19.9,10.34,Cash,P.N.|880-3021,No,No,44,No
657839,2010-11-21,15:01,L195/AE,195,Lego,Airplane,8 and up,3,17.85,9.27,Mastercard,N.W.|880-6237,No,No,35,No
657858,2010-11-21,12:19,D250/AT,192,Duplo,Policemen,6 and up,2,19.9,10.34,Gift Card,N.C.|880-3850,No,No,50,No
657884,2010-11-21,15:37,D250/AT,192,Duplo,Policemen,6 and up,1,9.95,5.17,Discover,V.W.|880-4523,No,No,30,No
657887,2010-11-21,13:09,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Cash,D.S.|880-7532,No,No,38,No
657921,2010-11-22,8:58,D254/FE,192,Duplo,Policemen,6 and up,2,19.9,10.34,Cash,Y.P.|880-6894,No,No,30,Yes
657945,2010-11-22,13:39,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Cash,S.Y.|880-3139,No,No,30,No
657946,2010-11-22,19:31,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,3,29.85,13.44,Cash,V.W.|880-8599,No,No,31,No
657946,2010-11-22,19:31,L330/GN,330,Lego,Gas Station,8 and up,4,131.8,76.44,Cash,V.W.|880-8599,No,No,31,No
657946,2010-11-22,19:31,L195/AE,195,Lego,Airplane,8 and up,2,11.9,6.18,Cash,V.W.|880-8599,No,No,31,No
657967,2010-11-23,13:55,D254/FE,192,Duplo,Policemen,6 and up,5,49.75,25.85,Mastercard,C.X.|880-3590,No,No,36,No
657971,2010-11-23,10:58,L195/AE,195,Lego,Airplane,8 and up,2,11.9,6.18,Discover,H.B.|880-3254,No,No,50,Yes
657973,2010-11-23,10:14,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Check,B.Y.|880-6845,Yes,No,25,No
657985,2010-11-23,15:29,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,U.W.|880-9683,No,No,30,No
658025,2010-11-23,9:24,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,3,29.85,13.44,Discover,Z.T.|880-7477,No,No,44,No
658054,2010-11-24,14:09,L195/AE,195,Lego,Airplane,8 and up,2,11.9,6.18,Visa,H.B.|880-3254,No,No,29,No
658088,2010-11-24,16:13,D250/AT,192,Duplo,Policemen,6 and up,1,9.95,5.17,Mastercard,D.U.|880-2953,No,No,38,No
658095,2010-11-24,18:35,D254/FE,192,Duplo,Policemen,6 and up,4,39.8,20.68,Mastercard,L.C.|880-6872,Yes,Yes,30,Yes
658095,2010-11-24,18:35,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Mastercard,L.C.|880-6872,Yes,Yes,30,Yes
658135,2010-11-25,16:22,L194/FY,194,Lego,Family,4 and up,1,14.95,8.37,Visa,U.O.|880-3720,No,No,49,No
658157,2010-11-26,16:59,D255/FE,192,Duplo,Policemen,6 and up,5,49.75,25.85,Visa,Z.Q.|880-4240,No,No,34,No
658183,2010-11-26,15:34,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Discover,B.X.|880-9149,No,No,39,No
658183,2010-11-26,15:34,D250/AT,192,Duplo,Policemen,6 and up,4,39.8,20.68,Discover,B.X.|880-9149,No,No,39,No
658221,2010-11-26,15:21,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Visa,L.C.|880-6872,No,No,11,No
658267,2010-11-26,18:50,L195/AE,195,Lego,Airplane,8 and up,2,11.9,6.18,Visa,N.C.|880-3850,No,No,34,No
